State,StateAbbreviation,PADD
Alabama,AL,PADD 3: Gulf Coast
Alaska,AK,PADD 4: West Coast
Arizona,AZ,PADD 4: West Coast
Arkansas,AR,PADD 3: Gulf Coast
California,CA,PADD 4: West Coast
Colorado,CO,PADD 4: West Coast
Connecticut,CT,PADD 1: East Coast
Delaware,DE,PADD 3: Gulf Coast
Florida,FL,PADD 3: Gulf Coast
Georgia,GA,PADD 3: Gulf Coast
Hawaii,HI,PADD 4: West Coast
Idaho,ID,PADD 4: West Coast
Illinois,IL,PADD 2: Midwest
Indiana,IN,PADD 2: Midwest
Iowa,IA,PADD 2: Midwest
Kansas,KS,PADD 2: Midwest
Kentucky,KY,PADD 3: Gulf Coast
Louisiana,LA,PADD 3: Gulf Coast
Maine,ME,PADD 1: East Coast
Maryland,MD,PADD 3: Gulf Coast
Massachusetts,MA,PADD 1: East Coast
Michigan,MI,PADD 2: Midwest
Michigan,MI,PADD 2: Midwest
Minnesota,MN,PADD 2: Midwest
Mississippi,MS,PADD 3: Gulf Coast
Missouri,MO,PADD 2: Midwest
Montana,MT,PADD 4: West Coast
Nebraska,NE,PADD 2: Midwest
Nevada,NV,PADD 4: West Coast
New Hampshire,NH,PADD 1: East Coast
New Jersey,NJ,PADD 1: East Coast
New Mexico,NM,PADD 4: West Coast
New York,NY,PADD 1: East Coast
New York,NY,PADD 1: East Coast
North Carolina,NC,PADD 3: Gulf Coast
North Dakota,ND,PADD 2: Midwest
Ohio,OH,PADD 2: Midwest
Oklahoma,OK,PADD 3: Gulf Coast
Oregon,OR,PADD 4: West Coast
Pennsylvania,PA,PADD 1: East Coast
Rhode Island,RI,PADD 1: East Coast
South Carolina,SC,PADD 3: Gulf Coast
South Dakota,SD,PADD 2: Midwest
Tennessee,TN,PADD 3: Gulf Coast
Texas,TX,PADD 3: Gulf Coast
Utah,UT,PADD 4: West Coast
Vermont,VT,PADD 1: East Coast
Virginia,VA,PADD 3: Gulf Coast
Washington,WA,PADD 4: West Coast
West Virginia,WV,PADD 3: Gulf Coast
Wisconsin,WI,PADD 2: Midwest
Wyoming,WY,PADD 4: West Coast